MI_OBJ_OIS_SUM_OF_TAXATION_VALUES,MI_OBJ_OIS_SIZE_OF_BUSINESS_AREA,MI_OBJ_OIS_MOTHER_ID,MI_OBJ_OIS_TAXATION_VALUE,MI_OBJ_OIS_CONSTRUCTION_YEAR,MI_OBJ_OIS_SIZE_OF_BUSINESS_AREA_BUILDING,MI_OBJ_OIS_SIZE_OF_BASEMENT,MI_OBJ_OIS_SIZE_OF_HOUSE,C20_6MONTH%,MI_OBJ_OIS_TAXATION_VALUE_PLOT,KOEBESUM_BELOEB
710000,0,0,422273.05,1942,0,0,97,21.54,97698.63,1050000
2100000,0,241700,2100000,2006,0,0,86,28.23,345100,1352500
2150000,0,241700,2150000,2006,0,0,86,28.3,345100,3500000
2350000,0,241700,2350000,2007,0,0,95,29.99,397000,3463432
1700000,0,241700,1700000,2007,0,0,73,35.56,297800,2700000
2250000,0,241700,2370234.74,2007,0,0,91,6.15,403255.94,3025000
1450000,0,466230,1572300.27,2006,0,0,83,6.99,275857.37,2025000
1800000,0,466230,1951821.02,2006,0,0,93,6.99,312833.54,2700000
1100000,0,466230,1100000,2006,0,0,59,28.45,183000,1650000
2100000,0,466230,2100000,2006,0,0,110,45.97,341300,3400000
1900000,0,617700,2001531.56,2006,0,0,97,-1.47,493956.92,3010000
2050000,0,617700,2050000,2006,0,0,104,38.13,506600,3675000
1750000,0,617700,1750000,2006,0,0,88,42.54,420400,3425000
2000000,0,617700,2106875.33,2006,0,0,101,9.51,516605.83,3350000
1600000,0,617700,1685500.26,2006,0,0,80,-3.2,397356.69,2770000
1600000,0,617700,1600000,2006,0,0,80,28.53,377200,2950000
2250000,0,617700,2414839.89,2006,0,0,118,8.71,618950.29,3695000
2250000,0,617700,2370234.74,2006,0,0,118,3.63,607517.5,3635000
1800000,0,500730,1800000,2006,0,0,89,28.64,422500,3450000
2150000,0,500730,2150000,2006,0,0,111,32.54,538700,3995000
1850000,0,500730,1850000,2006,0,0,92,28.64,438400,4145000
2200000,0,500730,2200000,2006,0,0,111,29.98,538700,4250000
1850000,0,500730,1850000,2006,0,0,92,23.4,438400,3450000
2600000,0,258050,2687135.07,2007,0,0,95,4.47,526265.07,4100000
3000000,0,258050,3000000,2007,0,0,108,28.45,607400,4545000
2400000,0,258050,2575829.21,2007,0,0,87,-0.45,513555.95,3695000
3700000,0,258050,3897719.36,2007,0,0,131,8.61,775540.81,4920000
2400000,0,258050,2528250.39,2007,0,0,87,6.01,491112.64,3100000
2000000,0,258050,2146524.35,2007,0,0,74,13.06,414815.83,2875000
2050000,0,258050,2050000,2007,0,0,74,28.31,386500,3250000
4000000,0,258050,4000000,2007,0,0,143,39.32,809800,5820000
2300000,0,258050,2422906.63,2007,0,0,84,5.89,471729.39,3107600
1700000,0,468720,1823775.59,1930,0,0,104,-0.36,152768.03,3040000
2950000,0,258220,2950000,2006,0,0,105,31.27,496600,4605000
2050000,0,258220,2050000,2006,0,0,77,29.66,347100,2998000
3250000,0,258220,3488102.06,2006,0,0,117,3.41,601670.77,4695000
2050000,0,258220,2050000,2006,0,0,77,28.64,347100,3000000
