MI_OBJ_OIS_SUM_OF_TAXATION_VALUES,MI_OBJ_OIS_SIZE_OF_BUSINESS_AREA_BUILDING,MI_OBJ_OIS_MOTHER_ID,MI_OBJ_OIS_TAXATION_VALUE,MI_OBJ_OIS_CONSTRUCTION_YEAR,MI_OBJ_OIS_SIZE_OF_BASEMENT,MI_OBJ_OIS_SIZE_OF_ATTIC,SUPERMARKET_DISTANCE_1,MI_OBJ_OIS_SIZE_OF_BUSINESS_AREA,MI_OBJ_OIS_TAXATION_VALUE_PLOT,KOEBESUM_BELOEB
710000,0,0,422273.05,1942,0,20,5551.78,0,97698.63,1050000
410000,0,0,410040.04,,0,0,1114.38,0,410040.04,450000
209900,0,0,209900,,0,0,861.44,0,209900,176790
2100000,0,241700,2100000,2006,0,0,132.97,0,345100,1352500
2150000,0,241700,2150000,2006,0,0,132.97,0,345100,3500000
2350000,0,241700,2350000,2007,0,0,153.93,0,397000,3463432
1700000,0,241700,1700000,2007,0,0,166.23,0,297800,2700000
2250000,0,241700,2370234.74,2007,0,0,155.48,0,403255.94,3025000
1450000,0,466230,1572300.27,2006,0,0,158.35,0,275857.37,2025000
1800000,0,466230,1951821.02,2006,0,0,158.35,0,312833.54,2700000
1100000,0,466230,1100000,2006,0,0,176.68,0,183000,1650000
2100000,0,466230,2100000,2006,0,0,200.86,0,341300,3400000
1900000,0,617700,2001531.56,2006,0,0,358.33,0,493956.92,3010000
2050000,0,617700,2050000,2006,0,0,358.33,0,506600,3675000
1750000,0,617700,1750000,2006,0,0,358.33,0,420400,3425000
2000000,0,617700,2106875.33,2006,0,0,340.72,0,516605.83,3350000
1600000,0,617700,1685500.26,2006,0,0,340.72,0,397356.69,2770000
1600000,0,617700,1600000,2006,0,0,340.72,0,377200,2950000
2250000,0,617700,2414839.89,2006,0,0,334.35,0,618950.29,3695000
2250000,0,617700,2370234.74,2006,0,0,334.35,0,607517.5,3635000
1800000,0,500730,1800000,2006,0,0,336.63,0,422500,3450000
2150000,0,500730,2150000,2006,0,0,341.01,0,538700,3995000
1850000,0,500730,1850000,2006,0,0,341.01,0,438400,4145000
2200000,0,500730,2200000,2006,0,0,341.01,0,538700,4250000
1850000,0,500730,1850000,2006,0,0,341.01,0,438400,3450000
2600000,0,258050,2687135.07,2007,0,0,176.33,0,526265.07,4100000
3000000,0,258050,3000000,2007,0,0,177.57,0,607400,4545000
2400000,0,258050,2575829.21,2007,0,0,177.57,0,513555.95,3695000
3700000,0,258050,3897719.36,2007,0,0,181.76,0,775540.81,4920000
2400000,0,258050,2528250.39,2007,0,0,176.84,0,491112.64,3100000
2000000,0,258050,2146524.35,2007,0,0,176.84,0,414815.83,2875000
2050000,0,258050,2050000,2007,0,0,176.84,0,386500,3250000
4000000,0,258050,4000000,2007,0,0,170.28,0,809800,5820000
2300000,0,258050,2422906.63,2007,0,0,141.3,0,471729.39,3107600
1700000,0,468720,1823775.59,1930,0,0,85.89,0,152768.03,3040000
2950000,0,258220,2950000,2006,0,0,101.76,0,496600,4605000
2050000,0,258220,2050000,2006,0,0,123.46,0,347100,2998000
3250000,0,258220,3488102.06,2006,0,0,123.46,0,601670.77,4695000
2050000,0,258220,2050000,2006,0,0,142.93,0,347100,3000000
3150000,0,258220,3380775.84,2006,0,0,171.65,0,555842.48,4800000
2400000,0,258220,2528250.39,2006,0,0,171.55,0,427485,3245000
2200000,0,258220,2200000,2006,0,0,171.55,0,363100,3115000
4250000,0,258220,4250000,2006,0,0,171.55,0,742200,6500000
3700000,0,258220,3897719.36,2006,0,0,171.55,0,663665.73,5200000
2100000,0,258220,2253850.56,2006,0,0,153.6,0,372529.3,2900000
2600000,0,258220,2790481.65,2006,0,0,91.59,0,475562.47,3495000
1100000,0,625966,1180479.26,1936,0,0,90.78,0,451586.97,4500000
2650000,0,0,2820934.15,2007,0,0,294.32,0,802422.7,3373000
2650000,0,0,2650000,2007,0,0,278.07,0,747100,3500000
2700000,0,0,2700000,2007,0,0,194.23,0,759700,3000000
2700000,0,0,2700000,2007,0,0,199.59,0,753800,3350000
2250000,0,0,2317541.17,2007,0,0,222.26,0,773852.75,2765000
2650000,0,0,2820934.15,2007,0,0,190.78,0,797100.18,3050000
2850000,0,43983,2850000,1917,0,0,178.93,0,327700,3320000
3850000,0,43983,4131677.4,1917,0,0,178.93,0,453518.67,4250000
3900000,0,43983,3900000,1917,0,0,178.93,0,416800,4550000
3050000,0,43983,3196888.38,1917,0,0,167.82,0,412765.46,3250000
2650000,0,0,2820934.15,2007,0,0,172.11,0,887902.33,3950000
2650000,0,0,2650000,2007,0,0,146.89,0,833200,3885000
2650000,0,0,2820934.15,2007,0,0,149.14,0,886944.28,3850000
2700000,0,0,2781049.4,2007,0,0,149.73,0,858211.25,3850000
2650000,0,0,2650000,2007,0,0,125.51,0,833200,3998000
2650000,0,0,2650000,2007,0,0,127.42,0,833200,4045000
2650000,0,0,2708804.15,2007,0,0,102.68,0,844942.46,4000000
2650000,0,0,2820934.15,2007,0,0,103.88,0,879918.55,4000000
2650000,0,0,2650000,2007,0,0,104.53,0,826600,4000000
2650000,0,0,2729548.49,2007,0,0,148.38,0,852443.14,3825000
2700000,0,0,2781049.4,2007,0,0,144.85,0,880665.64,4110000
3900000,0,0,4030702.6,1774,0,0,277.38,0,470248.64,13900000
5450000,0,0,5801543.81,1774,0,0,303.28,0,677662.9,13500000
3600000,0,68293,3600000,1881,0,0,256.14,0,1023100,13200000
560000,0,601137,560000,1931,0,0,140.52,0,100200,1845000
570000,0,601137,570000,1931,0,0,146.03,0,104000,1735000
1150000,0,601137,1204845.67,1931,0,0,146.03,0,113045.95,1850000
1150000,0,601137,1150000,1931,0,0,98.83,0,107900,1950000
2500000,0,489680,2652496.67,2007,0,0,173.76,0,486361.79,3780000
2450000,0,489680,2599446.74,2007,0,0,162.56,0,481799.5,3750000
2500000,0,489680,2652496.67,2007,0,0,150.04,0,486361.79,3800000
2000000,0,489680,2000000,2007,0,0,130.61,0,314300,2611000
2500000,0,489680,2580530.48,2007,0,0,115.92,0,423619.88,3425000
2450000,0,887600,2628382.47,2007,0,0,108.02,0,437920.7,3300000
1850000,0,887600,1984696.97,2007,0,0,95.75,0,339222.26,2995000
2150000,0,887600,2252537.56,2007,0,0,95.75,0,360615.55,2875000
2100000,0,887600,2252899.26,2007,0,0,95.75,0,364969.68,3295000
1800000,0,887600,1931056.51,2007,0,0,76.1,0,343513.5,2335000
1950000,0,887600,2091977.89,2007,0,0,76.1,0,343513.5,2950000
1800000,0,887740,1800000,2007,0,0,119.08,0,300000,3000000
2050000,0,887740,2199258.8,2007,0,0,119.2,0,351452.29,2600000
2900000,0,339637,3039664.36,1799,0,0,14.86,0,405847.6,3700000
2050000,0,466710,2160305.15,2007,0,0,49.3,0,318355.21,2895000
