MI_OBJ_OIS_PROPERTY_ID,MI_OBJ_OIS_PROPERTY_NUMBER,MI_OBJ_OIS_MOTHER_ID,MI_OBJ_OIS_MUNICIPALITY_NUMBER,MI_OBJ_OIS_POSTAL_CODE,MI_OBJ_OIS_RENTED_PLOT,MI_OBJ_OIS_OWNERSHIP_CODE_PROPERTY,MI_OBJ_OIS_PROPERTY_APPLICATION_CODE_UNIT,MI_OBJ_OIS_PROPERTY_APPLICATION_CODE_BUILDING,MI_OBJ_OIS_PROPERTY_USE_CODE,MI_OBJ_OIS_TAXATION_VALUE,MI_OBJ_OIS_TAXATION_VALUE_PLOT,MI_OBJ_OIS_TAXATION_VALUE_FARMHOUSE,MI_OBJ_OIS_DATE_OF_TAXATION_VALUE,MI_OBJ_OIS_PROPERTY_ADDRESS,MI_OBJ_OIS_HOUSE_NUMBER,MI_OBJ_OIS_HOUSE_LETTER,MI_OBJ_OIS_FLOOR_NUMBER,MI_OBJ_OIS_MAX_FLOOR_NUMBER_BUILDING,MI_OBJ_OIS_LAND_ZONE,MI_OBJ_OIS_SIZE_OF_HOUSE,MI_OBJ_OIS_SIZE_OF_BUSINESS_AREA,MI_OBJ_OIS_SIZE_OF_PLOT,MI_OBJ_OIS_SIZE_OF_INTEGRATED_CARPORT,MI_OBJ_OIS_SIZE_OF_NOT_INTEGRATED_CARPORT,MI_OBJ_OIS_SIZE_OF_OUTDOOR_LIVING_ROOM,MI_OBJ_OIS_SIZE_OF_INTEGRATED_OUTHOUSE,MI_OBJ_OIS_SIZE_OF_INTEGRATED_GARAGE,MI_OBJ_OIS_SIZE_OF_LEGAL_BASEMENT,MI_OBJ_OIS_SIZE_OF_BASEMENT,MI_OBJ_OIS_SIZE_OF_ATTIC,MI_OBJ_OIS_SIZE_OF_USED_ATTIC,MI_OBJ_OIS_SIZE_OF_HOUSE_EXCL_UTILIZED_ATTIC,MI_OBJ_OIS_SIZE_OF_BUSINESS_AREA_BUILDING,MI_OBJ_OIS_SIZE_OF_NOT_INTEGRATED_GARAGE,MI_OBJ_OIS_NUMBER_OF_FLOORS,MI_OBJ_OIS_CONSTRUCTION_YEAR,MI_OBJ_OIS_CONSTRUCTION_MATERIAL,MI_OBJ_OIS_REBUILD_YEAR,MI_OBJ_OIS_ROOF_MATERIAL,MI_OBJ_NUMBER_OF_EXTERNAL_MATRS,MI_OBJ_OIS_SUM_OF_TAXATION_VALUES,MI_OBJ_OIS_N_COORDINATE,MI_OBJ_OIS_E_COORDINATE,C20_1MONTH%,C20_3MONTH%,C20_6MONTH%,C20_12MONTH%,SCHOOL_DISTANCE_1,SCHOOL_DISTANCE_2,SCHOOL_DISTANCE_3,SUPERMARKET_DISTANCE_1,SUPERMARKET_DISTANCE_2,SUPERMARKET_DISTANCE_3,KOEBESUM_BELOEB,OMREGNINGS_DATO
360002585,2585.0,0.0,360,4953.0,N,10.0,120.0,120.0,1.0,422273.05,97698.63,0.0,2013-10-01,Rudbjergvej 9 (4953),9.0, ,  ,  ,2,97,0,949.0,0,0,0,0,0,0,0,20,20,77,0,0,1.0,1942.0,1 ,0.0,5 ,1,710000.0,6082027.2,644873.3,7.46,23.78,21.54,36.81,5425.42,5778.04,5854.45,5551.78,5852.82,5980.2,1050000,2015-03-24 00:00:00
1010000002,2.0,241700.0,101,2300.0,N,10.0,140.0,140.0,21.0,2100000.0,345100.0,0.0,2014-10-01,Jens Otto Krags Gade 12 03 tv,12.0, ,03,07,1,86,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,2006.0,1 ,0.0,1 ,1,2100000.0,6173855.1,724464.18,2.16,12.76,28.23,36.6,1045.23,1383.67,1443.8,132.97,323.57,538.37,1352500,2015-06-03 00:00:00
1010000004,4.0,241700.0,101,2300.0,N,10.0,140.0,140.0,21.0,2150000.0,345100.0,0.0,2014-10-01,Jens Otto Krags Gade 12 04 tv,12.0, ,04,07,1,86,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,2006.0,1 ,0.0,1 ,1,2150000.0,6173855.1,724464.18,2.01,11.82,28.3,36.19,1045.23,1383.67,1443.8,132.97,323.57,538.37,3500000,2015-06-02 00:00:00
1010000013,13.0,241700.0,101,2300.0,N,10.0,140.0,140.0,21.0,2350000.0,397000.0,0.0,2014-10-01,Jens Otto Krags Gade 16 01 tv,16.0, ,01,07,1,95,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,2007.0,1 ,0.0,1 ,1,2350000.0,6173848.5,724500.59,-4.13,20.68,29.99,35.09,1017.53,1404.47,1407.48,153.93,299.25,538.51,3463432,2015-05-12 00:00:00
1010000026,26.0,241700.0,101,2300.0,N,10.0,140.0,140.0,21.0,1700000.0,297800.0,0.0,2014-10-01,Jens Otto Krags Gade 18 st tv,18.0, ,ST,07,1,73,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,2007.0,1 ,0.0,1 ,1,1700000.0,6173832.4,724526.43,7.69,23.99,35.56,42.48,1004.49,1377.55,1411.73,166.23,291.91,529.14,2700000,2015-04-24 00:00:00
1010000045,45.0,241700.0,101,2300.0,N,10.0,140.0,140.0,21.0,2370234.74,403255.94,0.0,2013-10-01,Jens Otto Krags Gade 20 01 th,20.0, ,01,07,1,91,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,2007.0,1 ,0.0,1 ,1,2250000.0,6173819.2,724521.22,1.57,3.81,6.15,27.4,1016.16,1377.7,1398.86,155.48,305.16,515.03,3025000,2014-12-02 00:00:00
1010000685,685.0,466230.0,101,2400.0,N,10.0,140.0,140.0,21.0,1572300.27,275857.37,0.0,2013-10-01,Rebslagervej 21 st th,21.0, ,ST,04,1,83,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,2006.0,6 ,0.0,1 ,1,1450000.0,6178819.5,722182.94,5.25,8.27,6.99,21.76,238.64,353.62,431.38,158.35,246.86,248.74,2025000,2015-01-22 00:00:00
1010000690,690.0,466230.0,101,2400.0,N,10.0,140.0,140.0,21.0,1951821.02,312833.54,0.0,2013-10-01,Rebslagervej 21 03 th,21.0, ,03,04,1,93,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,2006.0,6 ,0.0,1 ,1,1800000.0,6178819.5,722182.94,5.25,8.27,6.99,21.76,238.64,353.62,431.38,158.35,246.86,248.74,2700000,2015-01-22 00:00:00
1010000700,700.0,466230.0,101,2400.0,N,10.0,140.0,140.0,21.0,1100000.0,183000.0,0.0,2014-10-01,Rentemestervej 5 02 mf,5.0, ,02,04,1,59,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,2006.0,6 ,0.0,1 ,1,1100000.0,6178837.7,722178.42,1.21,9.74,28.45,31.24,255.07,371.87,448.9,176.68,253.19,255.62,1650000,2015-06-10 00:00:00
1010000727,727.0,466230.0,101,2400.0,N,10.0,140.0,140.0,21.0,2100000.0,341300.0,0.0,2014-10-01,Rentemestervej 7 B 04 tv,7.0,B,04,04,1,110,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,2006.0,6 ,0.0,1 ,1,2100000.0,6178849.7,722149.86,6.84,27.88,45.97,44.23,261.68,385.4,458.52,200.86,238.47,241.75,3400000,2015-04-16 00:00:00
1010000743,743.0,617700.0,101,2300.0,N,10.0,140.0,140.0,21.0,2001531.56,493956.92,0.0,2013-10-01,Tom Kristensens Vej 30 02 tv,30.0, ,02,07,1,97,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,2006.0,90,0.0,90,1,1900000.0,6174197.7,725625.1,-0.81,-3.84,-1.47,24.87,322.5,513.44,872.43,358.33,452.44,550.35,3010000,2014-12-15 00:00:00
1010000751,751.0,617700.0,101,2300.0,N,10.0,140.0,140.0,21.0,2050000.0,506600.0,0.0,2014-10-01,Tom Kristensens Vej 30 05 th,30.0, ,05,07,1,104,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,2006.0,90,0.0,90,1,2050000.0,6174197.7,725625.1,6.72,25.84,38.13,41.93,322.5,513.44,872.43,358.33,452.44,550.35,3675000,2015-04-17 00:00:00
1010000752,752.0,617700.0,101,2300.0,N,10.0,140.0,140.0,21.0,1750000.0,420400.0,0.0,2014-10-01,Tom Kristensens Vej 30 06 tv,30.0, ,06,07,1,88,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,2006.0,90,0.0,90,1,1750000.0,6174197.7,725625.1,12.81,33.22,42.54,45.73,322.5,513.44,872.43,358.33,452.44,550.35,3425000,2015-04-11 00:00:00
1010000767,767.0,617700.0,101,2300.0,N,10.0,140.0,140.0,21.0,2106875.33,516605.83,0.0,2013-10-01,Tom Kristensens Vej 28 05 tv,28.0, ,05,07,1,101,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,2006.0,90,0.0,90,1,2000000.0,6174194.2,725642.36,3.46,2.95,9.51,34.78,338.61,498.49,857.68,340.72,469.94,565.68,3350000,2014-09-30 00:00:00
