MI_OBJ_OIS_SUM_OF_TAXATION_VALUES,MI_OBJ_OIS_SIZE_OF_BUSINESS_AREA_BUILDING,MI_OBJ_OIS_MOTHER_ID,MI_OBJ_OIS_TAXATION_VALUE,MI_OBJ_OIS_CONSTRUCTION_YEAR,MI_OBJ_OIS_SIZE_OF_BASEMENT,MI_OBJ_OIS_SIZE_OF_ATTIC,SUPERMARKET_DISTANCE_1,MI_OBJ_OIS_SIZE_OF_BUSINESS_AREA,MI_OBJ_OIS_TAXATION_VALUE_PLOT
710000.0,0,0.0,422273.05,1942.0,0,20,5551.78,0,97698.63
410000.0,0,0.0,410040.04,,0,0,1114.38,0,410040.04
209900.0,0,0.0,209900.0,,0,0,861.44,0,209900.0
2100000.0,0,241700.0,2100000.0,2006.0,0,0,132.97,0,345100.0
2150000.0,0,241700.0,2150000.0,2006.0,0,0,132.97,0,345100.0
2350000.0,0,241700.0,2350000.0,2007.0,0,0,153.93,0,397000.0
1700000.0,0,241700.0,1700000.0,2007.0,0,0,166.23,0,297800.0
2250000.0,0,241700.0,2370234.74,2007.0,0,0,155.48,0,403255.94
1450000.0,0,466230.0,1572300.27,2006.0,0,0,158.35,0,275857.37
1800000.0,0,466230.0,1951821.02,2006.0,0,0,158.35,0,312833.54
1100000.0,0,466230.0,1100000.0,2006.0,0,0,176.68,0,183000.0
2100000.0,0,466230.0,2100000.0,2006.0,0,0,200.86,0,341300.0
1900000.0,0,617700.0,2001531.56,2006.0,0,0,358.33,0,493956.92
2050000.0,0,617700.0,2050000.0,2006.0,0,0,358.33,0,506600.0
1750000.0,0,617700.0,1750000.0,2006.0,0,0,358.33,0,420400.0
2000000.0,0,617700.0,2106875.33,2006.0,0,0,340.72,0,516605.83
1600000.0,0,617700.0,1685500.26,2006.0,0,0,340.72,0,397356.69
1600000.0,0,617700.0,1600000.0,2006.0,0,0,340.72,0,377200.0
2250000.0,0,617700.0,2414839.89,2006.0,0,0,334.35,0,618950.29
2250000.0,0,617700.0,2370234.74,2006.0,0,0,334.35,0,607517.5
1800000.0,0,500730.0,1800000.0,2006.0,0,0,336.63,0,422500.0
2150000.0,0,500730.0,2150000.0,2006.0,0,0,341.01,0,538700.0
1850000.0,0,500730.0,1850000.0,2006.0,0,0,341.01,0,438400.0
2200000.0,0,500730.0,2200000.0,2006.0,0,0,341.01,0,538700.0
1850000.0,0,500730.0,1850000.0,2006.0,0,0,341.01,0,438400.0
2600000.0,0,258050.0,2687135.07,2007.0,0,0,176.33,0,526265.07
3000000.0,0,258050.0,3000000.0,2007.0,0,0,177.57,0,607400.0
2400000.0,0,258050.0,2575829.21,2007.0,0,0,177.57,0,513555.95
3700000.0,0,258050.0,3897719.36,2007.0,0,0,181.76,0,775540.81
2400000.0,0,258050.0,2528250.39,2007.0,0,0,176.84,0,491112.64
2000000.0,0,258050.0,2146524.35,2007.0,0,0,176.84,0,414815.83
2050000.0,0,258050.0,2050000.0,2007.0,0,0,176.84,0,386500.0
4000000.0,0,258050.0,4000000.0,2007.0,0,0,170.28,0,809800.0
2300000.0,0,258050.0,2422906.63,2007.0,0,0,141.3,0,471729.39
1700000.0,0,468720.0,1823775.59,1930.0,0,0,85.89,0,152768.03
2950000.0,0,258220.0,2950000.0,2006.0,0,0,101.76,0,496600.0
