pX_ptconecoreTrackPtrCorrection,p_d0,p_etcone20,pX_MultiLepton,p_sigmad0,p_TRTPID,p_numberOfInnermostPixelHits,p_ptPU30,p_deltaEta1,p_Rhad,p_Truth_isElectron
1330.26,-0.11,0.7,0,0.16,-0.0085,0,0.0,0.016,0.4,0
16315.1,0.0027,1.2,0,0.021,0.0,2,1.9e-05,0.042,0.49,0
44542.94,-0.025,0.028,0,0.0081,0.48,1,0.0,-0.0042,0.011,1
0.0,0.017,0.013,1,0.018,0.2,1,1.1e-05,0.00013,-0.013,1
19041.44,0.033,1.69,0,0.019,-0.21,1,2.7e-05,-0.11,0.15,0
47408.21,0.012,0.36,0,0.011,0.036,1,0.0,-0.019,0.18,0
27900.88,-0.015,0.37,0,0.019,-0.0029,1,8.8e-05,-0.043,0.11,0
16229.47,-0.03,0.66,0,0.016,-0.22,1,0.0,0.12,0.21,0
34204.59,0.0071,0.11,1,0.015,-0.095,1,0.0,-0.0029,0.0066,1
20444.55,0.019,-0.35,0,0.016,0.11,2,1.4e-05,-0.054,0.012,0
0.0,0.028,2.03,0,0.017,-0.14,1,1.3e-14,0.01,0.52,0
6918.89,-0.041,1.15,0,0.04,0.043,1,0.00012,-0.028,0.27,0
41304.39,-0.049,2.2,0,0.018,0.0,1,1.7e-06,0.1,0.51,0
8309.51,0.002,0.22,0,0.027,0.02,1,0.0,-0.086,0.0091,0
53128.81,-0.0082,1.16,0,0.011,0.075,1,0.0,-0.014,0.62,0
6420.01,0.0057,0.081,1,0.033,-0.26,1,3.45,-0.00084,0.0037,1
51639.36,0.064,1.23,0,0.027,0.0,1,3e-06,0.063,0.4,0
0.0,0.044,0.43,0,0.014,-0.032,1,1.9e-06,-0.018,0.16,0
41817.32,-0.0027,1.6,0,0.011,0.018,1,3.7e-06,-0.001,0.91,0
29597.53,-0.002,0.41,0,0.013,-0.066,1,0.0,0.059,0.17,0
13256.35,-0.0048,0.61,0,0.025,-0.12,1,0.0,-0.022,0.017,0
38658.81,0.026,0.58,0,0.012,0.025,1,0.0,-0.046,0.6,0
21768.97,-0.0031,0.46,0,0.016,0.18,1,1.5e-06,0.0011,0.13,0
33529.66,-0.006,0.35,0,0.021,-0.041,1,8.9e-05,-0.084,0.044,0
23429.77,0.18,0.38,0,0.026,-0.052,1,2.8e-13,0.011,0.047,0
24013.0,0.021,0.92,0,0.018,-0.21,1,8.1e-06,-0.00076,0.15,0
67980.52,0.011,2.01,0,0.017,0.13,1,1.3e-05,0.02,0.37,0
23553.79,-0.012,0.76,0,0.019,-0.0095,1,0.00058,0.012,0.1,0
50071.41,0.016,1.01,0,0.017,-0.17,1,0.0,0.026,0.51,0
20127.49,-0.0071,0.39,0,0.011,-0.018,1,3.4e-05,0.0074,0.096,0
11575.06,-0.027,0.78,0,0.014,-0.04,1,0.0,0.055,0.39,0
55728.35,-0.0053,0.0051,1,0.01,0.28,1,0.8,-0.0011,-0.0036,1
28518.38,-0.026,0.26,0,0.017,0.0,1,1.4e-05,0.017,0.065,0
17964.17,-1.31,0.53,0,0.12,0.0,0,1.3e-14,-0.021,0.21,1
59666.43,0.022,0.77,0,0.014,0.28,1,1.4e-05,0.016,0.28,0
53193.03,0.02,0.8,0,0.017,-0.18,1,0.0,-0.031,0.13,0
1228.85,0.041,2.4,0,0.25,-0.00043,0,0.0071,-0.025,0.1,1
33855.89,0.012,0.72,0,0.015,0.013,1,0.0001,0.017,0.079,0
33578.85,0.002,0.49,0,0.014,0.028,1,0.0,-0.0043,0.39,0
5482.08,-0.012,-0.68,0,0.03,0.097,1,0.00017,0.064,-0.00041,0
