haeldning_300m,elevation,mass_balance,haeldning_adaptiv,hastighed_x,retning,hastighed_y,afstand_til_kant_km,areal,gletsjer_dybde
0.14,220.65,-485.22,0.27,1.13,281.93,-6.67,0.027,0.082,6.0
0.14,216.72,-489.38,0.27,1.13,296.14,-6.67,0.018,0.082,11.0
0.12,142.2,-568.2,0.16,1.71,312.49,-7.02,0.01,0.082,13.0
0.12,141.34,-569.11,0.15,1.71,312.77,-7.02,0.012,0.082,7.0
0.14,219.96,-485.96,0.27,1.13,260.25,-6.67,0.029,0.082,6.0
0.14,210.46,-496.01,0.26,1.13,214.22,-6.67,0.018,0.082,10.27
0.14,206.47,-500.22,0.26,1.13,252.71,-6.67,0.006,0.082,10.11
0.12,146.73,-563.41,0.17,1.71,207.6,-7.02,0.012,0.082,9.0
0.12,142.6,-567.78,0.16,1.71,254.8,-7.02,0.008,0.082,9.86
0.12,139.89,-570.65,0.15,1.73,277.44,-7.05,0.016,0.082,9.5
0.12,136.75,-573.97,0.14,1.81,236.1,-7.14,0.033,0.082,10.0
0.14,209.02,-497.53,0.27,1.13,126.7,-6.67,0.03,0.082,8.0
0.14,209.6,-496.92,0.27,1.13,156.26,-6.67,0.026,0.082,8.69
0.14,199.94,-507.13,0.26,1.13,124.45,-6.67,0.015,0.082,11.62
0.12,154.81,-554.86,0.17,1.71,109.16,-7.02,0.015,0.082,11.8
0.12,149.15,-560.85,0.17,1.71,148.72,-7.02,0.017,0.082,13.78
0.12,141.36,-569.09,0.16,1.71,141.74,-7.02,0.013,0.082,17.55
0.12,133.8,-577.08,0.14,1.78,127.88,-7.1,0.027,0.082,15.22
0.11,132.18,-578.8,0.13,1.81,133.6,-7.14,0.039,0.082,9.2
0.11,131.16,-579.88,0.13,1.81,123.83,-7.14,0.046,0.082,11.38
0.14,202.02,-504.94,0.27,1.13,29.13,-6.67,0.032,0.082,12.0
0.14,193.62,-513.81,0.26,1.13,13.33,-6.67,0.028,0.082,10.0
0.14,195.43,-511.9,0.26,1.13,29.84,-6.67,0.023,0.082,10.88
0.12,142.75,-567.62,0.16,1.71,27.51,-7.02,0.019,0.082,30.5
0.12,135.39,-575.41,0.15,1.71,18.5,-7.02,0.024,0.082,23.09
0.12,131.79,-579.21,0.14,1.75,32.88,-7.07,0.029,0.082,11.06
0.11,126.91,-584.37,0.13,1.81,26.21,-7.14,0.046,0.082,17.15
0.14,191.97,-515.56,0.26,1.13,16.93,-6.67,0.034,0.082,8.9
0.13,177.15,-531.24,0.2,1.55,12.51,-6.91,0.011,0.082,16.0
0.13,176.01,-532.44,0.19,1.55,10.7,-6.91,0.004,0.082,14.5
0.13,171.72,-536.98,0.19,1.55,11.42,-6.91,0.007,0.082,20.0
0.12,146.83,-563.3,0.16,1.71,9.38,-7.02,0.007,0.082,35.0
0.12,143.29,-567.05,0.16,1.71,8.07,-7.02,0.014,0.082,30.23
0.12,136.17,-574.58,0.15,1.71,7.03,-7.02,0.028,0.082,22.12
0.12,130.77,-580.29,0.14,1.71,6.72,-7.03,0.035,0.082,14.0
0.11,124.87,-586.53,0.13,1.81,5.75,-7.14,0.047,0.082,22.2
0.11,116.76,-595.11,0.11,1.81,5.25,-7.14,0.04,0.082,6.0
0.14,189.28,-518.41,0.25,1.13,23.36,-6.67,0.043,0.082,9.0
0.13,172.49,-536.16,0.2,1.55,14.31,-6.91,0.015,0.082,18.75
0.13,169.9,-538.91,0.19,1.55,13.26,-6.91,0.01,0.082,12.5
0.13,163.15,-546.05,0.18,1.55,12.58,-6.91,0.014,0.082,23.54
0.12,148.23,-561.82,0.17,1.62,11.55,-6.96,0.011,0.082,35.07
0.12,142.13,-568.28,0.16,1.71,10.51,-7.02,0.016,0.082,23.27
0.12,131.72,-579.28,0.14,1.71,9.59,-7.02,0.038,0.082,19.71
0.11,126.19,-585.13,0.13,1.81,8.72,-7.14,0.046,0.082,23.15
0.11,122.24,-589.31,0.12,1.81,8.24,-7.14,0.053,0.082,30.21
0.11,114.17,-597.84,0.1,1.81,6.86,-7.14,0.046,0.082,12.2
0.14,187.0,-520.82,0.25,1.06,30.97,-6.66,0.042,0.082,8.67
0.13,164.78,-544.32,0.2,1.48,17.33,-6.91,0.022,0.082,22.58
0.13,162.97,-546.23,0.19,1.48,16.32,-6.91,0.02,0.082,14.42
0.12,152.23,-557.59,0.17,1.47,15.01,-6.91,0.023,0.082,34.5
0.12,148.62,-561.41,0.16,1.55,13.96,-6.93,0.018,0.082,29.04
0.12,132.3,-578.67,0.14,1.65,12.41,-7.03,0.036,0.082,27.38
0.11,126.8,-584.49,0.13,1.63,11.6,-7.03,0.049,0.082,25.85
0.11,121.01,-590.62,0.12,1.76,10.8,-7.15,0.058,0.082,33.5
0.11,111.99,-600.15,0.1,1.76,9.51,-7.15,0.058,0.082,12.36
0.11,110.15,-602.1,0.1,1.76,9.14,-7.14,0.054,0.082,24.25
0.14,186.34,-521.52,0.25,0.97,39.17,-6.64,0.035,0.082,8.8
0.14,186.42,-521.44,0.25,0.97,36.35,-6.64,0.037,0.082,8.56
0.13,159.25,-550.16,0.19,1.38,20.0,-6.91,0.031,0.082,22.83
0.13,157.78,-551.72,0.18,1.38,19.14,-6.91,0.029,0.082,16.5
0.13,151.89,-557.95,0.17,1.38,17.81,-6.91,0.03,0.082,38.0
0.12,132.14,-578.84,0.14,1.52,15.45,-7.04,0.037,0.082,33.88
0.12,128.5,-582.69,0.13,1.52,14.34,-7.04,0.044,0.082,29.53
0.11,120.92,-590.7,0.12,1.59,13.63,-7.13,0.061,0.082,35.11
0.11,119.99,-591.69,0.12,1.62,12.59,-7.16,0.062,0.082,35.57
0.11,109.53,-602.76,0.1,1.62,11.96,-7.16,0.062,0.082,21.19
0.11,108.6,-603.74,0.1,1.62,10.68,-7.16,0.06,0.082,27.0
0.14,186.35,-521.51,0.25,0.97,42.65,-6.64,0.033,0.082,7.86
0.13,154.33,-555.37,0.19,1.38,22.46,-6.91,0.039,0.082,20.45
0.13,151.4,-558.48,0.18,1.38,21.51,-6.91,0.037,0.082,30.16
0.13,151.47,-558.39,0.17,1.38,19.59,-6.91,0.033,0.082,38.0
0.12,131.99,-579.0,0.14,1.52,17.64,-7.04,0.04,0.082,36.57
0.12,126.42,-584.9,0.13,1.52,16.81,-7.04,0.048,0.082,30.62
0.11,118.13,-593.66,0.11,1.62,15.5,-7.16,0.064,0.082,38.79
0.11,110.35,-601.89,0.1,1.62,14.94,-7.16,0.056,0.082,19.57
0.11,107.23,-605.18,0.1,1.62,13.88,-7.16,0.055,0.082,26.31
0.1,89.96,-623.45,0.07,1.66,12.73,-7.29,0.042,0.082,7.25
0.14,186.42,-521.43,0.25,0.97,45.71,-6.64,0.032,0.082,7.0
0.13,171.27,-537.46,0.22,0.97,35.63,-6.64,0.071,0.082,5.0
0.13,170.15,-538.64,0.22,0.97,34.78,-6.64,0.069,0.082,9.5
0.13,149.19,-560.81,0.18,1.38,24.96,-6.91,0.048,0.082,19.4
0.13,147.95,-562.12,0.18,1.38,24.16,-6.91,0.046,0.082,35.14
0.12,131.08,-579.96,0.14,1.52,21.49,-7.04,0.049,0.082,39.0
0.12,129.68,-581.45,0.14,1.52,20.18,-7.04,0.048,0.082,36.28
0.12,126.29,-585.03,0.13,1.52,18.8,-7.04,0.05,0.082,32.0
0.11,116.62,-595.26,0.11,1.59,17.82,-7.14,0.06,0.082,39.57
0.11,110.26,-601.99,0.1,1.62,16.98,-7.16,0.051,0.082,21.5
0.11,104.42,-608.17,0.09,1.62,16.25,-7.16,0.046,0.082,30.92
0.1,89.35,-624.11,0.07,1.66,15.32,-7.29,0.042,0.082,12.67
0.1,89.04,-624.43,0.07,1.66,14.14,-7.29,0.045,0.082,9.9
0.13,171.6,-537.1,0.22,0.97,38.4,-6.64,0.068,0.082,8.46
0.13,168.03,-540.88,0.22,1.05,34.54,-6.69,0.067,0.082,11.5
0.13,161.91,-547.35,0.21,1.19,33.29,-6.77,0.063,0.082,7.86
0.13,147.71,-562.37,0.18,1.34,27.36,-6.88,0.055,0.082,25.31
0.12,130.78,-580.28,0.14,1.52,22.86,-7.04,0.054,0.082,38.36
0.12,125.84,-585.5,0.13,1.52,21.9,-7.04,0.056,0.082,33.77
0.11,113.62,-598.43,0.11,1.54,19.99,-7.06,0.054,0.082,36.0
0.11,110.01,-602.25,0.1,1.62,18.97,-7.16,0.048,0.082,25.5
0.1,102.7,-609.99,0.09,1.62,18.36,-7.16,0.038,0.082,30.75
0.1,89.29,-624.16,0.07,1.66,16.6,-7.29,0.037,0.082,14.11
0.1,86.9,-626.69,0.07,1.66,16.24,-7.29,0.038,0.082,11.0
0.14,174.36,-534.19,0.23,0.97,45.11,-6.64,0.06,0.082,13.92
0.13,172.79,-535.85,0.23,0.97,42.26,-6.64,0.064,0.082,9.22
0.13,156.89,-552.66,0.19,1.19,34.22,-6.77,0.068,0.082,7.0
0.13,153.04,-556.74,0.19,1.19,32.46,-6.77,0.065,0.082,12.67
0.13,147.22,-562.89,0.17,1.26,29.78,-6.82,0.063,0.082,22.41
0.12,129.41,-581.73,0.14,1.41,25.34,-6.93,0.057,0.082,36.88
0.12,125.53,-585.84,0.13,1.52,24.07,-7.04,0.059,0.082,35.56
0.11,111.27,-600.91,0.1,1.56,21.87,-7.08,0.051,0.082,33.81
0.1,100.83,-611.95,0.09,1.62,20.84,-7.16,0.031,0.082,29.0
0.1,101.57,-611.18,0.09,1.62,19.81,-7.16,0.034,0.082,29.8
0.1,87.41,-626.15,0.07,1.66,18.63,-7.29,0.029,0.082,12.72
0.1,86.08,-627.56,0.07,1.66,17.38,-7.29,0.033,0.082,11.0
0.09,77.11,-637.05,0.06,1.66,18.33,-7.29,0.025,0.082,12.0
0.14,178.78,-529.51,0.23,0.83,52.67,-6.61,0.054,0.082,18.0
0.13,174.8,-533.72,0.23,0.89,48.12,-6.63,0.06,0.082,12.78
0.13,157.56,-551.96,0.19,1.09,36.95,-6.76,0.076,0.082,7.08
0.13,151.74,-558.11,0.18,1.09,34.52,-6.76,0.072,0.082,19.45
0.13,146.21,-563.96,0.17,1.14,32.19,-6.78,0.07,0.082,23.87
0.12,142.33,-568.07,0.16,1.25,31.33,-6.91,0.064,0.082,18.22
0.12,130.13,-580.97,0.14,1.21,28.35,-6.9,0.049,0.082,35.25
0.12,126.62,-584.68,0.13,1.39,26.92,-6.99,0.05,0.082,36.0
0.11,110.68,-601.54,0.1,1.39,24.32,-7.04,0.049,0.082,34.23
0.11,108.92,-603.41,0.1,1.42,23.79,-7.04,0.048,0.082,32.62
0.1,99.57,-613.29,0.08,1.5,22.46,-7.18,0.027,0.082,28.25
0.1,88.69,-624.8,0.07,1.54,20.86,-7.31,0.024,0.082,15.47
0.1,83.77,-630.0,0.06,1.54,20.36,-7.31,0.019,0.082,12.0
0.09,77.76,-636.36,0.05,1.5,20.04,-7.32,0.021,0.082,10.0
0.09,77.37,-636.77,0.06,1.66,18.94,-7.29,0.023,0.082,11.0
0.13,175.81,-532.66,0.22,0.83,53.68,-6.61,0.05,0.082,17.2
0.13,175.11,-533.39,0.22,0.83,51.5,-6.61,0.056,0.082,14.2
0.13,160.24,-549.12,0.2,0.96,41.44,-6.7,0.08,0.082,6.7
0.13,154.08,-555.64,0.19,1.04,38.48,-6.76,0.073,0.082,14.62
0.13,150.45,-559.47,0.18,1.04,36.34,-6.76,0.072,0.082,18.11
0.12,145.53,-564.68,0.17,1.04,34.89,-6.76,0.069,0.082,25.92
0.12,139.68,-570.87,0.16,1.21,32.87,-6.9,0.058,0.082,20.42
0.12,129.77,-581.35,0.14,1.21,30.3,-6.9,0.044,0.082,33.64
0.12,124.76,-586.65,0.13,1.21,29.17,-6.9,0.041,0.082,42.2
0.11,108.43,-603.92,0.1,1.34,26.04,-7.05,0.041,0.082,32.48
0.1,97.61,-615.37,0.08,1.42,24.31,-7.19,0.026,0.082,28.0
0.1,88.04,-625.49,0.07,1.42,22.75,-7.22,0.013,0.082,17.67
0.09,82.24,-631.62,0.06,1.45,22.09,-7.33,0.011,0.082,11.13
0.09,78.27,-635.82,0.05,1.45,21.3,-7.33,0.017,0.082,11.0
0.13,176.27,-532.17,0.22,0.83,55.22,-6.61,0.046,0.082,19.17
0.13,163.0,-546.2,0.2,0.83,46.5,-6.61,0.073,0.082,6.54
0.13,161.89,-547.37,0.2,0.83,44.25,-6.61,0.078,0.082,5.5
0.13,154.05,-555.66,0.18,1.04,41.02,-6.76,0.067,0.082,12.42
0.12,144.4,-565.87,0.17,1.04,37.19,-6.76,0.061,0.082,24.92
0.12,142.86,-567.5,0.16,1.04,36.58,-6.76,0.061,0.082,23.38
0.12,135.46,-575.33,0.15,1.21,34.46,-6.9,0.05,0.082,24.43
0.12,126.31,-585.01,0.13,1.21,32.03,-6.9,0.036,0.082,37.29
0.12,124.47,-586.96,0.13,1.21,30.52,-6.9,0.036,0.082,42.0
0.11,106.98,-605.46,0.1,1.34,27.97,-7.05,0.032,0.082,31.19
0.1,95.53,-617.57,0.08,1.42,26.1,-7.19,0.027,0.082,28.0
0.1,87.0,-626.58,0.06,1.42,24.85,-7.19,0.003,0.082,20.29
0.1,85.59,-628.08,0.06,1.42,24.23,-7.19,0.008,0.082,22.58
0.09,80.81,-633.13,0.05,1.45,23.52,-7.33,0.007,0.082,9.82
0.13,165.78,-543.27,0.2,0.83,51.82,-6.61,0.055,0.082,12.75
0.13,164.59,-544.52,0.2,0.83,49.64,-6.61,0.063,0.082,10.0
0.13,155.62,-554.0,0.19,1.0,44.87,-6.74,0.064,0.082,8.89
0.13,154.92,-554.75,0.19,1.04,43.15,-6.76,0.065,0.082,10.0
0.12,143.29,-567.05,0.16,1.04,39.44,-6.76,0.052,0.082,24.0
0.12,137.25,-573.43,0.15,1.14,37.34,-6.85,0.053,0.082,27.0
0.12,131.07,-579.97,0.14,1.21,35.67,-6.9,0.041,0.082,27.81
0.12,124.04,-587.41,0.13,1.21,33.95,-6.9,0.029,0.082,39.25
0.11,106.45,-606.02,0.1,1.34,30.63,-7.05,0.022,0.082,30.43
0.11,105.18,-607.36,0.1,1.34,29.72,-7.05,0.024,0.082,29.37
0.1,92.96,-620.28,0.08,1.42,28.31,-7.19,0.021,0.082,27.0
0.1,93.95,-619.23,0.08,1.42,27.44,-7.19,0.025,0.082,28.0
0.1,85.57,-628.1,0.06,1.42,26.56,-7.19,0.01,0.082,20.81
0.13,167.12,-541.85,0.2,0.83,54.19,-6.61,0.047,0.082,15.36
0.13,157.49,-552.03,0.19,0.83,49.47,-6.61,0.064,0.082,8.0
0.13,156.81,-552.75,0.19,0.83,47.76,-6.61,0.063,0.082,7.22
0.12,141.93,-568.48,0.16,1.04,41.51,-6.76,0.044,0.082,22.17
0.12,133.42,-577.49,0.14,1.21,37.72,-6.9,0.047,0.082,29.0
0.12,128.44,-582.76,0.14,1.21,37.42,-6.9,0.038,0.082,30.17
