Postnummer,Husnummer,Kvadratmeter,Grundareal,Byggeår,Afstand_skole,Afstand_supermarked,Salgspris
4953.0,9.0,97,949.0,1942.0,5425.42,5551.78,1050000
2300.0,12.0,86,0.0,2006.0,1045.23,132.97,1352500
2300.0,12.0,86,0.0,2006.0,1045.23,132.97,3500000
2300.0,16.0,95,0.0,2007.0,1017.53,153.93,3463432
2300.0,18.0,73,0.0,2007.0,1004.49,166.23,2700000
2300.0,20.0,91,0.0,2007.0,1016.16,155.48,3025000
2400.0,21.0,83,0.0,2006.0,238.64,158.35,2025000
2400.0,21.0,93,0.0,2006.0,238.64,158.35,2700000
2400.0,5.0,59,0.0,2006.0,255.07,176.68,1650000
2400.0,7.0,110,0.0,2006.0,261.68,200.86,3400000
2300.0,30.0,97,0.0,2006.0,322.5,358.33,3010000
2300.0,30.0,104,0.0,2006.0,322.5,358.33,3675000
2300.0,30.0,88,0.0,2006.0,322.5,358.33,3425000
2300.0,28.0,101,0.0,2006.0,338.61,340.72,3350000
2300.0,28.0,80,0.0,2006.0,338.61,340.72,2770000
2300.0,28.0,80,0.0,2006.0,338.61,340.72,2950000
2300.0,26.0,118,0.0,2006.0,347.52,334.35,3695000
2300.0,26.0,118,0.0,2006.0,347.52,334.35,3635000
2300.0,24.0,89,0.0,2006.0,351.39,336.63,3450000
2300.0,22.0,111,0.0,2006.0,358.2,341.01,3995000
2300.0,22.0,92,0.0,2006.0,358.2,341.01,4145000
2300.0,22.0,111,0.0,2006.0,358.2,341.01,4250000
2300.0,22.0,92,0.0,2006.0,358.2,341.01,3450000
2300.0,31.0,95,0.0,2007.0,431.49,176.33,4100000
2300.0,33.0,108,0.0,2007.0,438.21,177.57,4545000
2300.0,33.0,87,0.0,2007.0,438.21,177.57,3695000
2300.0,35.0,131,0.0,2007.0,451.4,181.76,4920000
2300.0,37.0,87,0.0,2007.0,449.47,176.84,3100000
2300.0,37.0,74,0.0,2007.0,449.47,176.84,2875000
2300.0,37.0,74,0.0,2007.0,449.47,176.84,3250000
2300.0,39.0,143,0.0,2007.0,447.38,170.28,5820000
2300.0,43.0,84,0.0,2007.0,425.35,141.3,3107600
2500.0,18.0,104,0.0,1930.0,347.04,85.89,3040000
2300.0,14.0,105,0.0,2006.0,505.15,101.76,4605000
2300.0,12.0,77,0.0,2006.0,517.63,123.46,2998000
2300.0,12.0,117,0.0,2006.0,517.63,123.46,4695000
2300.0,10.0,77,0.0,2006.0,529.4,142.93,3000000
2300.0,67.0,112,0.0,2006.0,574.28,171.65,4800000
2300.0,69.0,89,0.0,2006.0,592.0,171.55,3245000
2300.0,69.0,81,0.0,2006.0,592.0,171.55,3115000
2300.0,69.0,152,0.0,2006.0,592.0,171.55,6500000
2300.0,69.0,131,0.0,2006.0,592.0,171.55,5200000
2300.0,17.0,78,0.0,2006.0,588.86,153.6,2900000
2300.0,23.0,96,0.0,2006.0,556.97,91.59,3495000
1606.0,29.0,116,0.0,1936.0,492.9,90.78,4500000
2700.0,150.0,137,99.0,2007.0,282.77,294.32,3373000
2700.0,136.0,136,91.0,2007.0,303.3,278.07,3500000
2700.0,44.0,141,106.0,2007.0,389.88,194.23,3000000
2700.0,50.0,141,99.0,2007.0,392.81,199.59,3350000
2700.0,64.0,108,96.0,2007.0,391.81,222.26,2765000
2700.0,34.0,135,93.0,2007.0,433.92,190.78,3050000
1577.0,23.0,147,0.0,1917.0,479.59,178.93,3320000
1577.0,23.0,180,0.0,1917.0,479.59,178.93,4250000
1577.0,23.0,178,0.0,1917.0,479.59,178.93,4550000
1577.0,23.0,145,0.0,1917.0,480.98,167.82,3250000
2500.0,27.0,127,84.0,2007.0,286.11,172.11,3950000
2500.0,63.0,125,83.0,2007.0,309.04,146.89,3885000
2500.0,53.0,125,83.0,2007.0,329.54,149.14,3850000
2500.0,51.0,127,83.0,2007.0,333.94,149.73,3850000
2500.0,31.0,125,83.0,2007.0,325.94,125.51,3998000
2500.0,25.0,125,83.0,2007.0,337.95,127.42,4045000
2500.0,11.0,125,74.0,2007.0,328.24,102.68,4000000
2500.0,7.0,125,74.0,2007.0,335.91,103.88,4000000
2500.0,5.0,125,74.0,2007.0,339.8,104.53,4000000
2500.0,41.0,125,77.0,2007.0,269.18,148.38,3825000
2500.0,26.0,125,107.0,2007.0,252.39,144.85,4110000
2500.0,1.0,61,0.0,1931.0,95.01,140.52,1845000
2500.0,17.0,62,0.0,1931.0,111.91,146.03,1735000
2500.0,17.0,64,0.0,1931.0,111.91,146.03,1850000
2500.0,21.0,64,0.0,1931.0,75.9,98.83,1950000
2450.0,15.0,105,0.0,2007.0,375.92,173.76,3780000
2450.0,21.0,104,0.0,2007.0,387.49,162.56,3750000
2450.0,27.0,105,0.0,2007.0,400.84,150.04,3800000
2450.0,8.0,80,0.0,2007.0,412.48,130.61,2611000
2450.0,6.0,106,0.0,2007.0,416.18,115.92,3425000
2500.0,12.0,110,0.0,2007.0,369.32,108.02,3300000
2500.0,10.0,90,0.0,2007.0,370.58,95.75,2995000
2500.0,10.0,97,0.0,2007.0,370.58,95.75,2875000
2500.0,10.0,96,0.0,2007.0,370.58,95.75,3295000
2500.0,8.0,88,0.0,2007.0,382.08,76.1,2335000
2500.0,8.0,88,0.0,2007.0,382.08,76.1,2950000
2500.0,4.0,87,0.0,2007.0,399.02,119.08,3000000
2500.0,6.0,93,0.0,2007.0,411.56,119.2,2600000
1462.0,17.0,115,0.0,1799.0,423.34,14.86,3700000
2100.0,4.0,78,0.0,2007.0,390.18,49.3,2895000
2100.0,4.0,103,0.0,2007.0,390.18,49.3,3625000
2100.0,8.0,95,0.0,2007.0,364.2,79.62,3350000
2100.0,12.0,101,0.0,2007.0,347.77,112.46,3675000
2100.0,12.0,76,0.0,2007.0,347.77,112.46,3065000
2100.0,12.0,100,0.0,2007.0,347.77,112.46,3900000
2300.0,44.0,102,0.0,2006.0,198.85,313.6,3275000
2300.0,44.0,86,0.0,2006.0,198.85,313.6,3475000
2300.0,40.0,102,0.0,2006.0,215.64,336.91,3595000
2450.0,33.0,75,0.0,2007.0,210.17,465.42,2345000
2450.0,33.0,108,0.0,2007.0,210.17,465.42,3195000
2450.0,33.0,108,0.0,2007.0,210.17,465.42,3495000
1166.0,3.0,155,0.0,1850.0,233.21,99.04,5550000
2300.0,11.0,126,0.0,2007.0,457.85,202.94,4498000
2300.0,13.0,112,0.0,2007.0,468.36,216.15,3995000
2300.0,15.0,117,0.0,2007.0,478.26,228.82,4240000
2300.0,12.0,85,0.0,2007.0,432.78,171.55,2600000
2300.0,14.0,126,0.0,2007.0,424.65,163.03,4300000
2300.0,14.0,77,0.0,2007.0,424.65,163.03,2319000
2300.0,14.0,126,0.0,2007.0,424.65,163.03,1830000
2300.0,16.0,112,0.0,2007.0,416.98,155.88,3800000
2300.0,18.0,114,0.0,2007.0,410.97,151.3,4500000
2300.0,5.0,81,0.0,2007.0,609.0,330.05,2575000
2300.0,5.0,133,0.0,2007.0,609.0,330.05,5300000
2300.0,7.0,133,0.0,2007.0,630.14,336.78,4250000
2100.0,20.0,101,0.0,2007.0,446.72,80.43,3250000
2100.0,18.0,102,0.0,2007.0,450.58,90.09,3400000
2100.0,18.0,101,0.0,2007.0,450.58,90.09,3850000
2100.0,20.0,104,0.0,2007.0,446.72,80.43,3800000
2100.0,18.0,102,0.0,2007.0,450.58,90.09,3795000
2100.0,20.0,104,0.0,2007.0,446.72,80.43,3900000
2100.0,18.0,101,0.0,2007.0,450.58,90.09,4120000
2500.0,37.0,146,93.0,2008.0,229.48,149.89,4300000
2500.0,23.0,74,0.0,1912.0,209.34,117.4,1970000
1358.0,24.0,77,0.0,1812.0,107.25,61.38,2800000
1358.0,24.0,77,0.0,1812.0,107.25,61.38,3495000
1358.0,24.0,77,0.0,1812.0,107.25,61.38,3025000
1358.0,26.0,68,0.0,1812.0,93.11,49.54,2495000
1358.0,26.0,68,0.0,1812.0,93.11,49.54,2800000
2300.0,8.0,109,0.0,2005.0,903.01,192.02,3500000
2300.0,8.0,64,0.0,2005.0,903.01,192.02,2615000
2300.0,63.0,75,0.0,2007.0,192.73,156.95,2200000
2300.0,63.0,75,0.0,2007.0,192.73,156.95,2075000
2300.0,63.0,78,0.0,2007.0,192.73,156.95,2400000
2300.0,63.0,83,0.0,2007.0,191.03,135.02,2195000
